史料,分類,タイトル,読み,pos,画像,wikipedia,コトバンク
,,■箭,,27,http://codh.rois.ac.jp/software/iiif-curation-viewer/demo/?curation=https://api.jsonbin.io/b/61179ec2d5667e403a427a40/1&lang=ja&pos=27,,
,,火箭,,28,http://codh.rois.ac.jp/software/iiif-curation-viewer/demo/?curation=https://api.jsonbin.io/b/61179ec2d5667e403a427a40/1&lang=ja&pos=28,,
,,神機箭式,,29,http://codh.rois.ac.jp/software/iiif-curation-viewer/demo/?curation=https://api.jsonbin.io/b/61179ec2d5667e403a427a40/1&lang=ja&pos=29,,
,,■鎗圖式,,30,http://codh.rois.ac.jp/software/iiif-curation-viewer/demo/?curation=https://api.jsonbin.io/b/61179ec2d5667e403a427a40/1&lang=ja&pos=30,,
,,長鎗式,,31,http://codh.rois.ac.jp/software/iiif-curation-viewer/demo/?curation=https://api.jsonbin.io/b/61179ec2d5667e403a427a40/1&lang=ja&pos=31,,
,,（竹狼）筅式,,32,http://codh.rois.ac.jp/software/iiif-curation-viewer/demo/?curation=https://api.jsonbin.io/b/61179ec2d5667e403a427a40/1&lang=ja&pos=32,,
,,棍式,,33,http://codh.rois.ac.jp/software/iiif-curation-viewer/demo/?curation=https://api.jsonbin.io/b/61179ec2d5667e403a427a40/1&lang=ja&pos=33,,
,,梨花鎗,,34,http://codh.rois.ac.jp/software/iiif-curation-viewer/demo/?curation=https://api.jsonbin.io/b/61179ec2d5667e403a427a40/1&lang=ja&pos=34,,
,,天蓬■式,,35,http://codh.rois.ac.jp/software/iiif-curation-viewer/demo/?curation=https://api.jsonbin.io/b/61179ec2d5667e403a427a40/1&lang=ja&pos=35,,
,,偃月刀,えんげつとう,36,http://codh.rois.ac.jp/software/iiif-curation-viewer/demo/?curation=https://api.jsonbin.io/b/61179ec2d5667e403a427a40/1&lang=ja&pos=36,,https://kotobank.jp/word/%E5%81%83%E6%9C%88%E5%88%80-447560
,,劍式,,37,http://codh.rois.ac.jp/software/iiif-curation-viewer/demo/?curation=https://api.jsonbin.io/b/61179ec2d5667e403a427a40/1&lang=ja&pos=37,,
,,■枚圖式,,38,http://codh.rois.ac.jp/software/iiif-curation-viewer/demo/?curation=https://api.jsonbin.io/b/61179ec2d5667e403a427a40/1&lang=ja&pos=38,,
